Study number,drain2,Clay,Sand,pH,Corg,OM,C_N,prec1,prec2,ETP,ETP2,PPE,PPE2,Tair,N_syn,N_org,Ntot,Org,type2,split2,crop2,till2,Cumul,EF,per_N_app,EF_2
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.103,0.133,1,0,1,0,1,6.58,3.120300752,4.947368421,3.120300752
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.105,0.135,1,0,1,0,1,9.38,5.148148148,6.948148148,5.148148148
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.113,0.143,1,0,1,0,1,7.2,3.335664336,5.034965035,3.335664336
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.124,0.154,1,0,1,0,1,6.3,2.512987013,4.090909091,2.512987013
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0,0,0,0,0,0,0,1,0.65,,,
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.087,0.117,1,0,1,0,1,2.73,1.777777778,2.333333333,1.777777778
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.087,0.117,1,0,1,0,1,6,4.572649573,5.128205128,4.572649573
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.088,0.118,1,0,1,0,1,3.45,2.372881356,2.923728814,2.372881356
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.088,0.118,1,0,1,0,1,4.93,3.627118644,4.177966102,3.627118644
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.13,0,0.13,0,0,1,0,1,0.68,0.023076923,0.523076923,0.023076923
10,0,163,470,6,29.9,5.15476,14.23809524,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.101,0.131,1,0,1,0,1,1.2,0.419847328,0.916030534,0.419847328
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0,0,0,0,0,0,0,1,1.48,,,
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.087,0.117,1,0,1,0,1,4.08,2.222222222,3.487179487,2.222222222
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.087,0.117,1,0,1,0,1,4.38,2.478632479,3.743589744,2.478632479
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.088,0.118,1,0,1,0,1,3.63,1.822033898,3.076271186,1.822033898
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.088,0.118,1,0,1,0,1,5,2.983050847,4.237288136,2.983050847
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.13,0,0.13,0,0,1,0,1,13.5,9.246153846,10.38461538,9.246153846
10,1,508,93,6.5,46.8,8.06832,13.76470588,761.7,217.2,612,211,1.244607843,1.029383886,4,0.03,0.101,0.131,1,0,1,0,1,6.18,3.58778626,4.717557252,3.58778626
11,0,60,880,7.6,27.6,4.75824,17.25,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0.045,0,0.045,0,0,0,0,0,0.0326,,0.072444444,
11,0,210,520,7.8,47.6,8.20624,11.6097561,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0.062,0,0.062,0,0,0,0,0,1.9235,,3.102419355,
11,0,50,870,7.8,51.2,8.82688,8.258064516,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0,0,0,0,0,0,1,0,0.003,,,
11,0,320,310,8,59.8,10.30952,11.96,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0.085,0,0.085,0,0,0,0,0,2.0872,,2.455529412,
11,0,320,260,7.6,78.7,13.56788,12.69354839,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0,0,0,0,0,0,1,0,0.023,,,
11,0,320,260,7.6,78.7,13.56788,12.69354839,358.2,148.2,550.7,237.1,0.650444888,0.62505272,2.2,0,0,0,0,0,0,1,0,0.023,,,
12,1,370,280,6.8,18.5,3.1894,13,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,1,4.72,,2.593406593,
12,1,370,280,6.8,18.5,3.1894,13,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,1,8.99,,4.93956044,
12,1,370,280,6.8,20.1,3.46524,12.6,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,0,5.06,,2.78021978,
12,1,370,280,6.8,20.1,3.46524,12.6,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,0,6.06,,3.32967033,
12,1,370,280,6.8,20.2,3.48248,12.4,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,0,5.48,,3.010989011,
12,1,370,280,6.8,20.2,3.48248,12.4,662.4,218,592.2,253.5,1.118541033,0.859960552,8.7,0.182,0,0.182,0,0,1,0,0,7.55,,4.148351648,
12,1,370,280,7.09,18.5,3.1894,13,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,1,1.29,,0.708791209,
12,1,370,280,7.09,18.5,3.1894,13,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,1,1.49,,0.818681319,
12,1,370,280,7.09,20.1,3.46524,12.6,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,0,1.3,,0.714285714,
12,1,370,280,7.09,20.1,3.46524,12.6,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,0,1.44,,0.791208791,
12,1,370,280,7.09,20.2,3.48248,12.4,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,0,1.57,,0.862637363,
12,1,370,280,7.09,20.2,3.48248,12.4,529.2,132.6,623.3,275.1,0.84902936,0.482006543,8.7,0.182,0,0.182,0,0,1,0,0,1.72,,0.945054945,
12,1,370,280,6.38,18.5,3.1894,13,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,1,2.48,,1.362637363,
12,1,370,280,6.38,18.5,3.1894,13,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,1,3.95,,2.17032967,
12,1,370,280,6.38,20.1,3.46524,12.6,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,0,1.5,,0.824175824,
12,1,370,280,6.38,20.1,3.46524,12.6,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,0,1.6,,0.879120879,
12,1,370,280,6.38,20.2,3.48248,12.4,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,0,1.75,,0.961538462,
12,1,370,280,6.38,20.2,3.48248,12.4,375.8,83,637,289.9,0.589952904,0.286305623,8.7,0.182,0,0.182,0,0,1,0,0,2,,1.098901099,
